Weekday,TimestampDetected,Brand,StoreAddress,InventoryQty
Thursday,2025-09-11 19:26:36,BLANTON'S BOURBON,"6301 Town Center Dr., Raleigh, NC 27614",6
Thursday,2025-09-11 19:26:36,BLANTON'S BOURBON,"704 Money Ct., Knightdale, NC 27545",6
Thursday,2025-09-11 19:26:36,BLANTON'S BOURBON,"420 Woodburn Rd., Raleigh, NC 27605",6
Thursday,2025-09-11 19:26:36,BLANTON'S BOURBON,"4215 The Circle at North Hills Rd, Raleigh, NC 27609",6
Thursday,2025-09-11 19:26:36,EAGLE RARE 10Y,"2645 Appliance Ct., Raleigh, NC 27604",24
Thursday,2025-09-11 19:26:36,EAGLE RARE 10Y,"1793 West Williams St., Apex, NC 27502",20
Thursday,2025-09-11 19:26:36,EAGLE RARE 10Y,"6301 Town Center Dr., Raleigh, NC 27614",24
Thursday,2025-09-11 19:26:36,EAGLE RARE 10Y,"704 Money Ct., Knightdale, NC 27545",24
Thursday,2025-09-11 19:26:36,EAGLE RARE 10Y,"420 Woodburn Rd., Raleigh, NC 27605",24
Thursday,2025-09-11 19:26:36,EAGLE RARE 10Y,"4215 The Circle at North Hills Rd, Raleigh, NC 27609",24
Thursday,2025-09-11 19:26:36,BUFFALO TRACE BOURBON WHISKEY,"2645 Appliance Ct., Raleigh, NC 27604",36
Thursday,2025-09-11 19:26:36,BUFFALO TRACE BOURBON WHISKEY,"1793 West Williams St., Apex, NC 27502",48
Thursday,2025-09-11 19:26:36,BUFFALO TRACE BOURBON WHISKEY,"6301 Town Center Dr., Raleigh, NC 27614",36
Thursday,2025-09-11 19:26:36,BUFFALO TRACE BOURBON WHISKEY,"704 Money Ct., Knightdale, NC 27545",36
Thursday,2025-09-11 19:26:36,BUFFALO TRACE BOURBON WHISKEY,"420 Woodburn Rd., Raleigh, NC 27605",48
Thursday,2025-09-11 19:26:36,BUFFALO TRACE BOURBON WHISKEY,"4215 The Circle at North Hills Rd, Raleigh, NC 27609",36
Friday,2025-09-12 20:35:55,SHENK'S SOUR MASH WHISKEY,"3320 Olympia Dr., Raleigh, NC 27603",2
Friday,2025-09-12 20:35:55,SHENK'S SOUR MASH WHISKEY,"1420 N Ardendell Dr., Zebulon, NC 27597",3
Friday,2025-09-12 20:35:55,SHENK'S SOUR MASH WHISKEY,"6809 Davis Circle, Raleigh, NC 27612",3
Friday,2025-09-12 20:35:55,E.H. TAYLOR JR. SMALL BATCH,"6809 Davis Circle, Raleigh, NC 27612",6
Friday,2025-09-12 20:35:55,BLANTON'S BOURBON,"3320 Olympia Dr., Raleigh, NC 27603",4
Friday,2025-09-12 20:35:55,BLANTON'S BOURBON,"1420 N Ardendell Dr., Zebulon, NC 27597",6
Friday,2025-09-12 20:35:55,BLANTON'S BOURBON,"6809 Davis Circle, Raleigh, NC 27612",6
Friday,2025-09-12 20:35:55,EAGLE RARE 10Y,"3320 Olympia Dr., Raleigh, NC 27603",20
Friday,2025-09-12 20:35:55,EAGLE RARE 10Y,"1420 N Ardendell Dr., Zebulon, NC 27597",24
Friday,2025-09-12 20:35:55,EAGLE RARE 10Y,"6809 Davis Circle, Raleigh, NC 27612",24
Friday,2025-09-12 20:35:55,BUFFALO TRACE BOURBON WHISKEY,"3320 Olympia Dr., Raleigh, NC 27603",36
Friday,2025-09-12 20:35:55,BUFFALO TRACE BOURBON WHISKEY,"1420 N Ardendell Dr., Zebulon, NC 27597",36
Friday,2025-09-12 20:35:55,BUFFALO TRACE BOURBON WHISKEY,"6809 Davis Circle, Raleigh, NC 27612",48
Tuesday,2025-09-16 14:06:50,SHENK'S SOUR MASH WHISKEY,"7911 ACC Blvd., Raleigh, NC 27617",3
Tuesday,2025-09-16 14:06:50,SHENK'S SOUR MASH WHISKEY,"1222 New Bern Ave., Raleigh, NC 27401",3
Tuesday,2025-09-16 14:06:50,BLANTON'S BOURBON,"7911 ACC Blvd., Raleigh, NC 27617",6
Tuesday,2025-09-16 14:06:50,BLANTON'S BOURBON,"1222 New Bern Ave., Raleigh, NC 27401",6
Tuesday,2025-09-16 14:06:50,EAGLE RARE 10Y,"7911 ACC Blvd., Raleigh, NC 27617",24
Tuesday,2025-09-16 14:06:50,EAGLE RARE 10Y,"1222 New Bern Ave., Raleigh, NC 27401",24
Tuesday,2025-09-16 14:06:50,BUFFALO TRACE BOURBON WHISKEY,"7911 ACC Blvd., Raleigh, NC 27617",36
Tuesday,2025-09-16 14:06:50,BUFFALO TRACE BOURBON WHISKEY,"1222 New Bern Ave., Raleigh, NC 27401",36
Thursday,2025-09-18 09:30:41,SHENK'S SOUR MASH WHISKEY,"11360 Capital Blvd., Wake Forest, NC 27587",3
Thursday,2025-09-18 09:30:41,SHENK'S SOUR MASH WHISKEY,"665 Cary Towne Blvd., Cary, NC 27511",3
Thursday,2025-09-18 09:30:41,SHENK'S SOUR MASH WHISKEY,"200 New Rand Road, Garner, NC 27529",3
Thursday,2025-09-18 09:30:41,SHENK'S SOUR MASH WHISKEY,"3615 SW Cary Parkway , Cary, NC 27513",3
Thursday,2025-09-18 09:30:41,E.H. TAYLOR JR. SMALL BATCH,"11360 Capital Blvd., Wake Forest, NC 27587",6
Thursday,2025-09-18 09:30:41,E.H. TAYLOR JR. SMALL BATCH,"200 New Rand Road, Garner, NC 27529",6
Thursday,2025-09-18 09:30:41,E.H. TAYLOR JR. SMALL BATCH,"3615 SW Cary Parkway , Cary, NC 27513",6
Thursday,2025-09-18 09:30:41,BLANTON'S BOURBON,"11360 Capital Blvd., Wake Forest, NC 27587",6
Thursday,2025-09-18 09:30:41,BLANTON'S BOURBON,"665 Cary Towne Blvd., Cary, NC 27511",6
Thursday,2025-09-18 09:30:41,BLANTON'S BOURBON,"200 New Rand Road, Garner, NC 27529",6
Thursday,2025-09-18 09:30:41,EAGLE RARE 10Y,"11360 Capital Blvd., Wake Forest, NC 27587",24
Thursday,2025-09-18 09:30:41,EAGLE RARE 10Y,"665 Cary Towne Blvd., Cary, NC 27511",23
Thursday,2025-09-18 09:30:41,EAGLE RARE 10Y,"200 New Rand Road, Garner, NC 27529",24
Thursday,2025-09-18 09:30:41,BUFFALO TRACE BOURBON WHISKEY,"11360 Capital Blvd., Wake Forest, NC 27587",48
Thursday,2025-09-18 09:30:41,BUFFALO TRACE BOURBON WHISKEY,"665 Cary Towne Blvd., Cary, NC 27511",36
