ExpectedDate,AnnouncedDate,ConfirmedDate,Store,Brand,Board,Status,DaysSinceLast,Source
2025-08-28,2025-08-28,,"7336 Creedmoor Rd., Raleigh, NC 27613",BUFFALO TRACE BOURBON WHISKEY,Wake County ABC,Announced,,wake_delta
2025-08-28,2025-08-28,,"7336 Creedmoor Rd., Raleigh, NC 27613",E.H. TAYLOR JR. SMALL BATCH,Wake County ABC,Announced,,wake_delta
2025-08-28,2025-08-28,,"7336 Creedmoor Rd., Raleigh, NC 27613",EAGLE RARE 10Y,Wake County ABC,Announced,,wake_delta
2025-08-28,2025-08-28,,"7336 Creedmoor Rd., Raleigh, NC 27613",W.L. WELLER 12Y,Wake County ABC,Announced,,wake_delta
2025-08-28,2025-08-28,,"7336 Creedmoor Rd., Raleigh, NC 27613",WELLER FULL PROOF,Wake County ABC,Announced,,wake_delta
2025-09-03,2025-09-03,,"1793 West Williams St., Apex, NC 27502",EAGLE RARE 10Y,Wake County ABC,Announced,,wake_delta
2025-09-05,2025-09-05,,"3615 SW Cary Parkway , Cary, NC 27513",BLANTON'S BOURBON,Wake County ABC,Announced,,wake_delta
2025-09-05,2025-09-05,,"3615 SW Cary Parkway , Cary, NC 27513",BUFFALO TRACE BOURBON WHISKEY,Wake County ABC,Announced,,wake_delta
2025-09-05,2025-09-05,,"3615 SW Cary Parkway , Cary, NC 27513",EAGLE RARE 10Y,Wake County ABC,Announced,,wake_delta
2025-09-05,2025-09-05,,"3615 SW Cary Parkway , Cary, NC 27513",W.L. WELLER 12Y,Wake County ABC,Announced,,wake_delta
2025-09-09,2025-09-09,,"1601-61 Cross Link Rd., Raleigh, NC 27610",BLANTON'S BOURBON,Wake County ABC,Announced,,wake_delta
2025-09-09,2025-09-09,,"1601-61 Cross Link Rd., Raleigh, NC 27610",BUFFALO TRACE BOURBON WHISKEY,Wake County ABC,Announced,,wake_delta
2025-09-09,2025-09-09,,"1601-61 Cross Link Rd., Raleigh, NC 27610",EAGLE RARE 10Y,Wake County ABC,Announced,,wake_delta
2025-09-09,2025-09-09,,"1601-61 Cross Link Rd., Raleigh, NC 27610",SHENK'S SOUR MASH WHISKEY,Wake County ABC,Announced,,wake_delta
2025-09-10,2025-09-10,,"100 Village Walk Dr., Holly Springs, NC 27540",BLANTON'S BOURBON,Wake County ABC,Announced,,wake_delta
2025-09-10,2025-09-10,,"100 Village Walk Dr., Holly Springs, NC 27540",BUFFALO TRACE BOURBON WHISKEY,Wake County ABC,Announced,,wake_delta
2025-09-10,2025-09-10,,"100 Village Walk Dr., Holly Springs, NC 27540",EAGLE RARE 10Y,Wake County ABC,Announced,,wake_delta
2025-09-10,2025-09-10,,"100 Village Walk Dr., Holly Springs, NC 27540",SHENK'S SOUR MASH WHISKEY,Wake County ABC,Announced,,wake_delta
2025-09-11,2025-09-11,,"1793 West Williams St., Apex, NC 27502",BLANTON'S BOURBON,Wake County ABC,Announced,,wake_delta
2025-09-11,2025-09-11,,"1793 West Williams St., Apex, NC 27502",BUFFALO TRACE BOURBON WHISKEY,Wake County ABC,Announced,,wake_delta
2025-09-11,2025-09-11,,"1793 West Williams St., Apex, NC 27502",E.H. TAYLOR JR. SMALL BATCH,Wake County ABC,Announced,,wake_delta
2025-09-11,2025-09-11,,"1793 West Williams St., Apex, NC 27502",EAGLE RARE 10Y,Wake County ABC,Announced,,wake_delta
2025-09-11,2025-09-11,,"1793 West Williams St., Apex, NC 27502",SHENK'S SOUR MASH WHISKEY,Wake County ABC,Announced,,wake_delta
2025-09-10,2025-09-11,,"1940 Cinema Dr., Fuquay Varina, NC 27526",BLANTON'S BOURBON,Wake County ABC,Announced,,wake_delta
2025-09-10,2025-09-11,,"1940 Cinema Dr., Fuquay Varina, NC 27526",BUFFALO TRACE BOURBON WHISKEY,Wake County ABC,Announced,,wake_delta
2025-09-10,2025-09-11,,"1940 Cinema Dr., Fuquay Varina, NC 27526",E.H. TAYLOR JR. SMALL BATCH,Wake County ABC,Announced,,wake_delta
2025-09-10,2025-09-11,,"1940 Cinema Dr., Fuquay Varina, NC 27526",EAGLE RARE 10Y,Wake County ABC,Announced,,wake_delta
2025-09-10,2025-09-11,,"1940 Cinema Dr., Fuquay Varina, NC 27526",SHENK'S SOUR MASH WHISKEY,Wake County ABC,Announced,,wake_delta
2025-09-11,2025-09-11,,"209 S Salisbury St, Raleigh, NC 27601",BLANTON'S BOURBON,Wake County ABC,Announced,,wake_delta
2025-09-11,2025-09-11,,"209 S Salisbury St, Raleigh, NC 27601",E.H. TAYLOR JR. BARREL PROOF,Wake County ABC,Announced,,wake_delta
2025-09-11,2025-09-11,,"209 S Salisbury St, Raleigh, NC 27601",E.H. TAYLOR JR. SMALL BATCH,Wake County ABC,Announced,,wake_delta
